matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,router_arm,router_switches,router_tax_ms
bcspwr09,1723,6511,8,0.25,17,False,400,256,0.091616,0.065491,0.086596,0.07292,1.256,0.898,178,0.065491,hst,1.058,1.399,0.756,1.399,1.0,3.3992994908668667e-16,drift,hst,1,3.322
bcspwr09,1723,6511,8,0.25,18,False,400,256,0.091177,0.070619,0.089569,0.075764,1.203,0.932,220,0.070619,hst,1.018,1.291,0.788,1.291,1.0,1.860896069197576e-16,drift,hst,1,3.39
bcspwr09,1723,6511,8,0.25,19,False,400,256,0.090974,0.065362,0.085245,0.071929,1.265,0.909,173,0.065362,hst,1.067,1.392,0.767,1.392,1.0,1.4472386138826977e-16,drift,hst,1,3.287
bcspwr09,1723,6511,8,0.25,20,False,400,256,0.090535,0.064954,0.085605,0.071919,1.259,0.903,179,0.064954,hst,1.058,1.394,0.759,1.394,1.0,4.2716015826531054e-16,drift,hst,1,3.33
bcspwr09,1723,6511,8,0.25,21,False,400,256,0.091789,0.065659,0.086138,0.071792,1.279,0.915,171,0.065659,hst,1.066,1.398,0.762,1.398,1.0,9.609496773994548e-17,drift,hst,1,3.416
add32,4960,19848,8,0.0,17,False,400,256,0.005913,0.016875,0.007006,0.006699,0.883,0.883,,0.005913,delta_baseline,0.844,1.0,0.844,1.0,2.854,1.834572946307244e-16,drift,delta_baseline,0,0.0
add32,4960,19848,8,0.0,18,False,400,256,0.005783,0.01644,0.006861,0.006576,0.879,0.879,,0.005783,delta_baseline,0.843,1.0,0.843,1.0,2.843,3.8969112366871195e-16,drift,delta_baseline,0,0.0
add32,4960,19848,8,0.0,19,False,400,256,0.00571,0.015024,0.006928,0.00662,0.863,0.863,,0.00571,delta_baseline,0.824,1.0,0.824,1.0,2.631,1.440904858629578e-16,drift,delta_baseline,0,0.0
add32,4960,19848,8,0.0,20,False,400,256,0.005792,0.015905,0.007026,0.006751,0.858,0.858,,0.005792,delta_baseline,0.824,1.0,0.824,1.0,2.746,1.9189147112235067e-16,drift,delta_baseline,0,0.0
add32,4960,19848,8,0.0,21,False,400,256,0.005733,0.015912,0.007033,0.006696,0.856,0.856,,0.005733,delta_baseline,0.815,1.0,0.815,1.0,2.776,2.4073268406156015e-16,drift,delta_baseline,0,0.0
add32,4960,19848,8,0.002,17,False,400,256,0.071868,0.018783,0.02861,0.020653,3.48,0.909,22,0.018783,hst,2.512,3.826,0.657,3.826,1.0,1.834572946307244e-16,drift,hst,1,1.106
add32,4960,19848,8,0.002,18,False,400,256,0.071305,0.019307,0.027084,0.023478,3.037,0.822,34,0.019307,hst,2.633,3.693,0.713,3.693,1.0,3.8969112366871195e-16,drift,hst,1,1.623
add32,4960,19848,8,0.002,19,False,400,256,0.068654,0.016949,0.023315,0.021617,3.176,0.784,24,0.016949,hst,2.945,4.051,0.727,4.051,1.0,1.440904858629578e-16,drift,hst,1,1.122
add32,4960,19848,8,0.002,20,False,400,256,0.071344,0.019423,0.027478,0.025763,2.769,0.754,37,0.019423,hst,2.596,3.673,0.707,3.673,1.0,1.9189147112235067e-16,drift,hst,1,1.691
add32,4960,19848,8,0.002,21,False,400,256,0.072811,0.019435,0.025595,0.021198,3.435,0.917,12,0.019435,hst,2.845,3.746,0.759,3.746,1.0,2.4073268406156015e-16,drift,hst,1,0.603
add32,4960,19848,8,0.01,17,False,400,256,0.076371,0.024812,0.033087,0.02748,2.779,0.903,16,0.024812,hst,2.308,3.078,0.75,3.078,1.0,1.834572946307244e-16,drift,hst,1,0.783
add32,4960,19848,8,0.01,18,False,400,256,0.075947,0.023881,0.040178,0.037582,2.021,0.635,99,0.023881,hst,1.89,3.18,0.594,3.18,1.0,3.8969112366871195e-16,drift,hst,1,3.781
add32,4960,19848,8,0.01,19,False,400,256,0.074326,0.022374,0.028335,0.024374,3.049,0.918,11,0.022374,hst,2.623,3.322,0.79,3.322,1.0,1.440904858629578e-16,drift,hst,1,0.542
add32,4960,19848,8,0.01,20,False,400,256,0.076629,0.024879,0.041481,0.0288,2.661,0.864,44,0.024879,hst,1.847,3.08,0.6,3.08,1.0,1.9189147112235067e-16,drift,hst,1,2.092
add32,4960,19848,8,0.01,21,False,400,256,0.076495,0.023465,0.033895,0.030483,2.509,0.77,51,0.023465,hst,2.257,3.26,0.692,3.26,1.0,2.4073268406156015e-16,drift,hst,1,2.365
add32,4960,19848,8,0.05,17,False,400,256,0.079438,0.046018,0.064842,0.054288,1.463,0.848,77,0.046018,hst,1.225,1.726,0.71,1.726,1.0,1.834572946307244e-16,drift,hst,1,1.946
