matrix,N,nnz,B,rho,seed,motion,lane_order,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,rotate,400,256,17341.9,305958,3565,62106,30502,2.0361,3.4799005362835824e-16,403,403,1052,403,0.916011,0.039226,0.25558,0.200217,10.680052,0.145202,3.584,0.0858,2.2929,0.6398,0.0239
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,rotate,400,256,14281.0,305958,3174,62106,30502,2.0361,1.2401781380624111e-16,403,403,548,403,0.792638,0.040181,0.274535,0.22384,14.897875,0.170637,2.8872,0.0532,1.8546,0.6424,0.0184
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,rotate,400,256,18785.7,305958,3270,62028,30494,2.0341,3.1758579755019686e-16,403,403,282,403,0.996852,0.044282,0.279522,0.231856,16.312435,0.170242,3.5663,0.0611,2.324,0.6517,0.0171
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,rotate,400,256,14754.6,305958,3620,62106,30502,2.0361,2.3128558815491234e-16,403,403,127,403,0.822995,0.038558,0.24986,0.204144,9.297743,0.14637,3.2938,0.0885,2.0735,0.6295,0.0269
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,rotate,400,138,14578.8,304406,1852,61516,30428,2.0217,2.645100820466541e-16,403,403,45,403,0.829622,0.036169,0.185213,0.146082,7.164545,0.119113,4.4793,0.1158,2.8497,0.6362,0.0259
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,rotate,400,256,8262.2,305958,3255,62106,30502,2.0361,3.4799005362835824e-16,403,403,81,403,0.514086,0.029818,0.25042,0.206808,10.14447,0.148142,2.0529,0.0507,1.2553,0.6115,0.0247
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,rotate,400,256,7170.9,305958,3170,62106,30502,2.0361,1.2401781380624111e-16,403,403,3,403,0.439277,0.024782,0.229709,0.187956,6.996414,0.125051,1.9123,0.0628,1.1622,0.6077,0.0328
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,rotate,400,256,6282.3,305958,33426,62028,30494,2.0341,3.1758579755019686e-16,403,403,0,403,0.394855,0.023175,0.22103,0.179679,5.600726,0.116974,1.7864,0.0705,1.0722,0.6002,0.0395
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,rotate,400,256,7235.8,305958,3226,62106,30502,2.0361,2.3128558815491234e-16,403,403,0,403,0.457162,0.026039,0.235652,0.193604,7.516553,0.133284,1.94,0.0608,1.1705,0.6033,0.0314
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,rotate,400,138,6165.6,304406,1914,61516,30428,2.0217,2.645100820466541e-16,403,403,0,403,0.383867,0.020168,0.151262,0.11532,4.017841,0.086693,2.5378,0.0955,1.4745,0.581,0.0376
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,rotate,400,256,194408,194408,194408,32124,7920,4.0561,2.33199221406069e-16,1,1,37,1,0.231152,0.226052,0.283502,0.270733,0.267523,0.255487,0.8153,0.864,0.8209,1.0068,1.0597
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,rotate,400,256,194408,194408,194408,32190,7924,4.0623,2.250136108661321e-16,1,1,21,1,0.199697,0.19457,0.253998,0.241649,0.214244,0.202372,0.7862,0.9321,0.8063,1.0255,1.1856
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,rotate,400,256,194408,194408,194408,32181,7924,4.0612,2.0975294965738434e-16,1,1,21,1,0.199347,0.19426,0.252641,0.240163,0.213864,0.2018,0.7891,0.9321,0.7066,0.8955,1.1813
TSOPF_RS_b162_c3,15374,610299,8,0.0,20,drift,rotate,400,256,194408,194408,194408,32124,7920,4.0561,1.8123573768650002e-16,1,1,6,1,0.198759,0.193505,0.253426,0.240928,0.213505,0.201697,0.7843,0.9309,0.8055,1.0271,1.187
TSOPF_RS_b162_c3,15374,610299,8,0.0,21,drift,rotate,400,256,195544,195544,195544,32275,7926,4.072,2.9638176259977964e-16,1,1,23,1,0.202278,0.197161,0.254406,0.24142,0.217002,0.204931,0.7951,0.9321,0.7151,0.8994,1.1724
TSOPF_RS_b162_c3,15374,610299,8,0.002,17,drift,rotate,400,256,192237.0,194408,193680,32124,7920,4.0561,1.5194492431320698e-16,388,78,35,78,8.616832,0.219574,0.308103,0.27594,2.609989,0.224543,27.9674,3.3015,26.8288,0.9593,0.118
