churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
drift,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs +calib,"1-D threshold (tree d=1) [both, refit]",router (+calibration),accuracy,0.0,0.0,0.0,0,513,21
drift,workload mix (frozen + churning),O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,0.08008,0.04524,0.11462,1,513,21
drift,workload mix (frozen + churning),O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),worst-case regret,2.76649,0.76558,4.50205,1,513,21
drift,workload mix (frozen + churning),O3 pre-registered [flat 10% parity band] vs steady,"logistic regression [both, refit]",router (steady),accuracy,-0.18485,-0.2,-0.16129,1,513,21
jump,churning only,O3 score-restricted [operator median replicate floor] vs steady,gradient boosting [both],router (steady),geomean regret,-0.06494,-0.09317,-0.0402,1,410,21
jump,churning only,O3 score-restricted [operator median replicate floor] vs steady,gradient boosting [both],router (steady),worst-case regret,-0.33877,-0.63319,0.01606,0,410,21
jump,churning only,O3 score-restricted [operator median replicate floor] vs steady,gradient boosting [both],router (steady),accuracy,0.0197,-0.05263,0.08293,0,410,21
jump,churning only,O3 score-restricted [operator median replicate floor] vs +calib,gradient boosting [both],router (+calibration),geomean regret,-0.31165,-0.40468,-0.23501,1,410,21
jump,churning only,O3 score-restricted [operator median replicate floor] vs +calib,gradient boosting [both],router (+calibration),worst-case regret,-1.1513,-1.4682,-0.46274,1,410,21
jump,churning only,O3 score-restricted [operator median replicate floor] vs +calib,gradient boosting [both],router (+calibration),accuracy,0.0197,-0.05263,0.08293,0,410,21
jump,churning only,O3 fit-restricted [operator median replicate floor] vs steady,"random forest (300) [both, refit]",router (steady),geomean regret,-0.06458,-0.0893,-0.04126,1,410,21
jump,churning only,O3 fit-restricted [operator median replicate floor] vs steady,"random forest (300) [both, refit]",router (steady),worst-case regret,-0.20966,-0.25556,-0.0181,1,410,21
jump,churning only,O3 fit-restricted [operator median replicate floor] vs steady,"random forest (300) [both, refit]",router (steady),accuracy,0.02227,-0.0489,0.08353,0,410,21
jump,churning only,O3 fit-restricted [operator median replicate floor] vs +calib,"random forest (300) [both, refit]",router (+calibration),geomean regret,-0.31129,-0.40142,-0.23633,1,410,21
