matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,False,400,256,14.45414,0.409891,0.440574,0.93,32.808,1.0,0.685855,0.411361,35.137,0.996,1,0.409891,hst,21.075,35.263,0.598,35.263,1.0,1.3924108160288588e-16,drift,53,1.035,30540,hst,1,8.154
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,False,400,256,14.568732,0.409636,0.394302,1.039,36.948,1.039,1.507478,1.265704,11.51,0.324,25,0.409636,hst,9.664,35.565,0.272,35.565,1.0,1.3924108160288588e-16,drift,74,1.027,30606,hst,1,332.849
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,False,400,256,14.371716,0.415682,0.450523,0.923,31.9,1.0,1.308929,0.950718,15.117,0.437,19,0.415682,hst,10.98,34.574,0.318,34.574,1.0,1.3924108160288588e-16,drift,36,1.02,30532,hst,1,252.97
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,False,400,256,14.546849,0.42158,0.449712,0.937,32.347,1.0,0.685848,0.412188,35.292,1.023,1,0.42158,hst,21.21,34.506,0.615,34.506,1.0,1.3924108160288588e-16,drift,34,1.018,30614,hst,1,8.147
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,False,400,138,0.380895,0.432819,0.42449,1.02,0.897,1.0,0.386813,0.35021,1.088,1.088,0,0.380895,delta_baseline,0.985,1.0,0.985,1.0,1.136,1.3924108160288588e-16,drift,0,1.0,30428,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,False,400,256,14.585099,0.431412,0.525933,0.82,27.732,1.0,0.710951,0.440865,33.083,0.979,1,0.431412,hst,20.515,33.808,0.607,33.808,1.0,1.3924108160288588e-16,drift,247,1.083,30758,hst,1,8.092
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,False,400,256,14.552261,0.430898,0.460848,0.935,31.577,1.0,0.707526,0.436764,33.318,0.987,1,0.430898,hst,20.568,33.772,0.609,33.772,1.0,1.3924108160288588e-16,drift,230,1.091,30450,hst,1,8.135
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,False,400,256,14.52744,0.434872,0.480041,0.906,30.263,1.0,0.712057,0.440558,32.975,0.987,1,0.434872,hst,20.402,33.406,0.611,33.406,1.0,1.3924108160288588e-16,drift,276,1.072,30668,hst,1,8.072
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,False,400,256,14.618694,0.434683,0.527055,0.825,27.737,1.0,0.711292,0.438548,33.334,0.991,1,0.434683,hst,20.552,33.631,0.611,33.631,1.0,1.3924108160288588e-16,drift,256,1.081,30672,hst,1,8.141
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,False,400,138,14.355105,0.431451,0.448027,0.963,32.041,1.0,0.705582,0.433428,33.12,0.995,1,0.431451,hst,20.345,33.272,0.611,33.272,1.0,1.3924108160288588e-16,drift,39,1.017,30444,hst,1,8.141
