matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms
nasa2910,2910,174296,8,0.25,21,False,400,256,0.787197,0.211538,1.102398,0.192,0.714,1.0,0.300241,0.226514,3.475,0.934,17,0.211538,hst,2.622,3.721,0.705,3.721,1.0,3.170894107257953e-16,jump,399,3.51,2910,hst,1,9.688
s3rmt3m3,5357,207123,8,0.0,17,False,400,256,0.017927,0.031533,0.029467,1.07,0.608,1.0,0.01906,0.017707,1.012,1.012,0,0.017927,delta_baseline,0.941,1.0,0.941,1.0,1.759,4.0558810500666957e-16,jump,0,1.0,674,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,18,False,400,256,0.016457,0.029592,0.027259,1.086,0.604,1.0,0.017822,0.016572,0.993,0.993,,0.016457,delta_baseline,0.923,1.0,0.923,1.0,1.798,4.602754019127631e-16,jump,0,1.0,597,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,19,False,400,256,0.017924,0.029768,0.027665,1.076,0.648,1.0,0.019071,0.017701,1.013,1.013,0,0.017924,delta_baseline,0.94,1.0,0.94,1.0,1.661,3.6103403035014226e-16,jump,0,1.0,498,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,20,False,400,256,0.016426,0.030378,0.027903,1.089,0.589,1.0,0.01763,0.016367,1.004,1.004,0,0.016426,delta_baseline,0.932,1.0,0.932,1.0,1.849,3.8491695538458903e-16,jump,0,1.0,612,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,21,False,400,256,0.016542,0.028775,0.026823,1.073,0.617,1.0,0.017937,0.016665,0.993,0.993,,0.016542,delta_baseline,0.922,1.0,0.922,1.0,1.739,4.3170597187208097e-16,jump,0,1.0,471,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.002,17,False,400,256,0.481871,0.121879,0.144465,0.844,3.336,1.0,0.133383,0.128187,3.759,0.951,2,0.121879,hst,3.613,3.954,0.914,3.954,1.0,4.0558810500666957e-16,jump,364,3.174,4606,hst,1,0.631
s3rmt3m3,5357,207123,8,0.002,18,False,400,256,0.464181,0.117588,0.140254,0.838,3.31,1.0,0.132634,0.128183,3.621,0.917,2,0.117588,hst,3.5,3.948,0.887,3.948,1.0,4.602754019127631e-16,jump,365,3.216,4668,hst,1,0.6
s3rmt3m3,5357,207123,8,0.002,19,False,400,256,0.478212,0.12065,0.147294,0.819,3.247,1.0,0.134795,0.130011,3.678,0.928,2,0.12065,hst,3.548,3.964,0.895,3.964,1.0,3.6103403035014226e-16,jump,368,3.085,4852,hst,1,0.628
s3rmt3m3,5357,207123,8,0.002,20,False,400,256,0.459434,0.11951,0.142221,0.84,3.23,1.0,0.133111,0.128657,3.571,0.929,2,0.11951,hst,3.452,3.844,0.898,3.844,1.0,3.8491695538458903e-16,jump,364,2.936,4800,hst,1,0.602
s3rmt3m3,5357,207123,8,0.002,21,False,400,256,0.463971,0.11732,0.140795,0.833,3.295,1.0,0.132998,0.128708,3.605,0.912,2,0.11732,hst,3.489,3.955,0.882,3.955,1.0,4.3170597187208097e-16,jump,357,3.078,4718,hst,1,0.583
s3rmt3m3,5357,207123,8,0.01,17,False,400,256,0.477592,0.151747,0.221667,0.685,2.155,1.0,0.168222,0.164323,2.906,0.923,2,0.151747,hst,2.839,3.147,0.902,3.147,1.0,4.0558810500666957e-16,jump,399,2.624,4996,hst,1,0.686
s3rmt3m3,5357,207123,8,0.01,18,False,400,256,0.462489,0.149446,0.210595,0.71,2.196,1.0,0.164002,0.160492,2.882,0.931,2,0.149446,hst,2.82,3.095,0.911,3.095,1.0,4.602754019127631e-16,jump,399,2.274,4925,hst,1,0.65
s3rmt3m3,5357,207123,8,0.01,19,False,400,256,0.474539,0.149392,0.22407,0.667,2.118,1.0,0.165488,0.161405,2.94,0.926,2,0.149392,hst,2.868,3.176,0.903,3.176,1.0,3.6103403035014226e-16,jump,398,2.403,5000,hst,1,0.676
s3rmt3m3,5357,207123,8,0.01,20,False,400,256,0.47964,0.149772,0.220949,0.678,2.171,1.0,0.164741,0.161392,2.972,0.928,2,0.149772,hst,2.911,3.202,0.909,3.202,1.0,3.8491695538458903e-16,jump,398,2.19,4966,hst,1,0.666
s3rmt3m3,5357,207123,8,0.01,21,False,400,256,0.478296,0.149474,0.213404,0.7,2.241,1.0,0.165645,0.162661,2.94,0.919,2,0.149474,hst,2.887,3.2,0.902,3.2,1.0,4.3170597187208097e-16,jump,399,2.318,4894,hst,1,0.652
s3rmt3m3,5357,207123,8,0.05,17,False,400,256,0.472539,0.165056,0.348896,0.473,1.354,1.0,0.18264,0.174945,2.701,0.943,3,0.165056,hst,2.587,2.863,0.904,2.863,1.0,4.0558810500666957e-16,jump,399,4.945,4882,hst,1,0.863
s3rmt3m3,5357,207123,8,0.05,18,False,400,256,0.467611,0.165574,0.353395,0.469,1.323,1.0,0.182182,0.175335,2.667,0.944,3,0.165574,hst,2.567,2.824,0.909,2.824,1.0,4.602754019127631e-16,jump,399,2.366,5051,hst,1,0.844
s3rmt3m3,5357,207123,8,0.05,19,False,400,256,0.469202,0.166772,0.346853,0.481,1.353,1.0,0.183476,0.176194,2.663,0.947,3,0.166772,hst,2.557,2.813,0.909,2.813,1.0,3.6103403035014226e-16,jump,399,4.533,4924,hst,1,0.887
s3rmt3m3,5357,207123,8,0.05,20,False,400,256,0.470699,0.168305,0.343245,0.49,1.371,1.0,0.182123,0.175206,2.687,0.961,3,0.168305,hst,2.585,2.797,0.924,2.797,1.0,3.8491695538458903e-16,jump,399,1.453,4861,hst,1,0.849
s3rmt3m3,5357,207123,8,0.05,21,False,400,256,0.467689,0.165191,0.35162,0.47,1.33,1.0,0.182542,0.175717,2.662,0.94,3,0.165191,hst,2.562,2.831,0.905,2.831,1.0,4.3170597187208097e-16,jump,399,1.153,5044,hst,1,0.824
s3rmt3m3,5357,207123,8,0.25,17,False,400,256,0.469835,0.178138,0.848812,0.21,0.554,1.0,0.237723,0.189288,2.482,0.941,30,0.178138,hst,1.976,2.637,0.749,2.637,1.0,4.0558810500666957e-16,jump,399,3.919,5014,hst,1,8.331
s3rmt3m3,5357,207123,8,0.25,18,False,400,256,0.472255,0.175143,0.848242,0.206,0.557,1.0,0.236301,0.189013,2.499,0.927,29,0.175143,hst,1.999,2.696,0.741,2.696,1.0,4.602754019127631e-16,jump,399,3.443,4987,hst,1,8.251
