matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
memplus,17758,99147,native,8,0.002,117,200,256,0.029084,0.053,0.279457,200,1.473,1.062776,193,1.076,0.067478,1.055,1.554,195,0.975,2.95,0.749,3693,3693,6670,8.634967068103995e-18,195,0.975,0.025,81.059,0.7454,8,3.175511443263315e-16,jump
memplus,17758,99147,native,8,0.01,117,200,256,0.02641,0.041,0.218365,200,0.975,1.333645,200,0.992,0.071758,0.86,0.838,199,0.995,2.275,0.425,5257,5257,7394,3.986223288468953e-17,199,0.995,0.005,97.373,0.7478,8,5.576862424115278e-16,jump
memplus,17758,99147,native,8,0.05,117,200,256,0.023086,0.039,0.159007,200,0.637,1.32217,200,1.002,0.073675,0.72,0.459,199,0.995,4.744,1.883,5496,5496,7326,1.7445003507605958e-16,199,0.995,0.005,86.193,0.7207,8,3.175511443263315e-16,jump
memplus,17758,99147,native,8,0.25,117,200,256,0.023493,0.041,0.144256,200,0.553,1.317822,200,0.948,0.074218,0.381,0.21,199,0.995,1.71,0.187,5716,5716,7310,1.0622495313674468e-16,199,0.995,0.005,82.71,0.715,8,3.175511443263315e-16,jump
scircuit,170998,958936,native,8,0.002,117,200,256,0.052032,0.078,0.213759,200,0.656,1.170649,198,1.011,0.07705,1.335,0.876,199,0.995,4.32,1.145,5051,5051,6326,0.0,199,0.995,0.005,94.954,0.715,8,1.8073892034176785e-16,jump
scircuit,170998,958936,native,8,0.01,117,200,256,0.067864,0.085,0.199709,200,0.641,1.413394,200,0.995,0.083454,0.925,0.593,199,0.995,3.821,1.196,6707,6707,7032,4.198360656432603e-18,199,0.995,0.005,114.523,0.7146,8,1.737538829386186e-16,jump
scircuit,170998,958936,native,8,0.05,117,200,256,0.076748,0.088,0.189044,200,0.473,1.566605,200,1.014,0.084903,0.861,0.407,199,0.995,3.915,1.378,6646,6646,6778,1.766893094527185e-18,199,0.995,0.005,124.431,0.716,8,1.670057872493842e-16,jump
scircuit,170998,958936,native,8,0.25,117,200,256,0.076958,0.088,0.185265,200,0.351,1.668515,200,1.11,0.085988,0.581,0.204,199,0.995,7.52,3.745,6905,6905,7106,3.465156159564216e-20,199,0.995,0.005,125.172,0.7175,8,1.670057872493842e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.002,217,200,256,1.695493,0.261,16.071481,200,18.746,19.67908,199,1.032,0.096835,0.751,14.087,199,0.995,1.365,0.142,32508,32508,66696,2.6000908850102243e-19,199,0.995,0.005,1161.407,0.8934,8,2.9030592113994347e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.01,217,200,256,0.548059,0.114,4.906426,200,6.954,14.441521,200,0.821,0.081876,0.625,4.345,199,0.995,1.494,0.196,8120,8120,8936,1.2560948713543652e-18,199,0.995,0.005,846.44,0.884,8,1.6707895505270132e-16,jump
