matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
TSOPF_RS_b39_c30,60098,1079986,native,8,0.0,217,200,256,1.602223,3.602,0.468812,1,1.019,0.606113,1,0.999,0.047277,1.049,1.069,0,0.0,1.0,0.0,30502,30502,62106,0.0,0,0.0,1.0,0.0,0.0,8,2.000129685254395e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,16,0.0,217,200,256,2.83395,3.993,0.575942,1,0.857,0.770025,1,1.012,0.051044,0.969,0.831,0,0.0,1.0,0.0,30502,30502,62106,0.0,0,0.0,1.0,0.0,0.0,8,2.3815126545726027e-16,drift
bcspwr10,5300,21842,native,1,0.0,217,200,256,0.004942,0.056,0.011542,1,0.149,0.099747,1,1.088,0.050362,0.98,0.146,0,0.0,1.0,0.0,3277,3277,5574,0.0,0,0.0,1.0,0.0,0.0,8,2.0638026717994268e-16,drift
bcspwr10,5300,21842,native,8,0.0,217,200,256,0.009782,0.103,0.012996,1,0.146,0.105057,1,1.084,0.050938,1.052,0.154,0,0.0,1.0,0.0,3277,3277,5574,0.0,0,0.0,1.0,0.0,0.0,8,2.6720637157955716e-16,drift
bcspwr10,5300,21842,native,16,0.0,217,200,256,0.016365,0.154,0.014702,1,0.143,0.113735,1,0.993,0.054314,1.012,0.145,0,0.0,1.0,0.0,3277,3277,5574,0.0,0,0.0,1.0,0.0,0.0,8,1.7999971413365665e-16,drift
ct20stif,52329,2600295,native,1,0.0,217,200,256,0.017735,0.193,0.031324,1,0.321,0.19052,1,1.049,0.050747,1.144,0.367,0,0.0,1.0,0.0,1513,1513,6109,0.0,0,0.0,1.0,0.0,0.0,8,6.711294472158448e-16,drift
ct20stif,52329,2600295,native,8,0.0,217,200,256,0.074492,0.721,0.038406,1,0.362,0.217761,1,1.032,0.051986,1.092,0.396,0,0.0,1.0,0.0,1513,1513,6109,0.0,0,0.0,1.0,0.0,0.0,8,4.929905510978127e-16,drift
ct20stif,52329,2600295,native,16,0.0,217,200,256,0.148216,1.237,0.052752,1,0.391,0.269032,1,1.047,0.054886,1.209,0.473,0,0.0,1.0,0.0,1513,1513,6109,0.0,0,0.0,1.0,0.0,0.0,8,3.874322167074724e-16,drift
memplus,17758,99147,native,1,0.0,217,200,256,0.02137,0.236,0.036738,1,0.39,0.225215,1,0.977,0.049946,1.099,0.429,0,0.0,1.0,0.0,8202,8202,14022,0.0,0,0.0,1.0,0.0,0.0,8,4.001065676669257e-16,drift
memplus,17758,99147,native,8,0.0,217,200,256,0.09133,0.769,0.04746,1,0.407,0.244766,1,1.299,0.050944,1.174,0.478,0,0.0,1.0,0.0,8202,8202,14022,0.0,0,0.0,1.0,0.0,0.0,8,5.251723242586403e-16,drift
memplus,17758,99147,native,16,0.0,217,200,256,0.219596,1.621,0.074546,1,0.503,0.278535,1,0.947,0.050783,1.108,0.558,0,0.0,1.0,0.0,8202,8202,14022,0.0,0,0.0,1.0,0.0,0.0,8,7.480135562741977e-16,drift
scircuit,170998,958936,native,1,0.0,217,200,256,0.009409,0.1,0.021436,1,0.235,0.240255,1,1.067,0.057243,1.046,0.246,0,0.0,1.0,0.0,3250,3250,5647,0.0,0,0.0,1.0,0.0,0.0,8,2.1422192730807818e-16,drift
scircuit,170998,958936,native,8,0.0,217,200,256,0.054287,0.425,0.044027,1,0.367,0.335022,1,1.069,0.067296,1.039,0.382,0,0.0,1.0,0.0,3250,3250,5647,0.0,0,0.0,1.0,0.0,0.0,8,1.7620204971701697e-16,drift
scircuit,170998,958936,native,16,0.0,217,200,256,0.083834,0.538,0.0603,1,0.427,0.381808,1,1.064,0.06882,1.003,0.428,0,0.0,1.0,0.0,3250,3250,5647,0.0,0,0.0,1.0,0.0,0.0,8,2.0101249881914137e-16,drift
