matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
ct20stif,52329,2600295,native,8,0.002,217,200,256,0.077982,0.292,0.765175,193,5.116,0.578846,37,0.881,0.057183,1.035,5.293,46,0.23,2.291,0.591,2206,2206,8594,3.121039622176603e-16,46,0.23,0.77,27.883,0.5228,8,4.318097212754869e-16,drift
ct20stif,52329,2600295,native,8,0.01,217,200,256,0.082036,0.178,0.812853,199,4.801,0.928807,69,0.862,0.060063,0.952,4.569,104,0.52,2.636,0.776,2584,2584,9121,4.440683360470463e-16,103,0.515,0.485,64.16,0.6966,8,3.553177995322055e-16,drift
ct20stif,52329,2600295,native,8,0.05,217,200,256,0.085204,0.113,0.816522,200,4.046,1.8852,157,0.787,0.062273,0.797,3.223,182,0.91,2.265,0.544,2497,2497,8931,3.3892081753413544e-16,182,0.91,0.09,120.399,0.8004,8,3.9768057571775075e-16,drift
ct20stif,52329,2600295,native,8,0.25,217,200,256,0.083517,0.107,0.81164,200,3.83,2.235629,200,0.793,0.062573,0.501,1.918,199,0.995,4.651,2.271,2871,2871,9123,3.9671032771448924e-16,199,0.995,0.005,126.215,0.8083,8,4.871337510215355e-16,drift
memplus,17758,99147,native,8,0.002,217,200,256,0.086936,0.255,0.849212,190,5.794,0.521733,35,1.079,0.054123,1.074,6.224,56,0.28,1.542,0.173,8804,8804,14869,8.608045647654923e-17,55,0.275,0.725,42.231,0.6201,8,4.801423961533516e-16,drift
memplus,17758,99147,native,8,0.01,217,200,256,0.081513,0.129,0.804544,200,4.701,0.941874,95,1.057,0.057134,0.974,4.578,135,0.675,1.995,0.429,8108,8108,13715,1.864516374690199e-16,134,0.67,0.33,98.384,0.7788,8,4.45102356058774e-16,drift
memplus,17758,99147,native,8,0.05,217,200,256,0.089606,0.106,0.894697,200,4.755,1.325024,151,0.963,0.05632,0.763,3.628,196,0.98,4.055,1.859,8420,8420,14267,3.9851207504001967e-16,196,0.98,0.02,141.218,0.8334,8,7.50806758567354e-16,drift
memplus,17758,99147,native,8,0.25,217,200,256,0.084229,0.095,0.82364,200,4.004,1.709437,200,0.873,0.057243,0.472,1.89,199,0.995,5.382,2.676,8545,8545,14013,5.410801552252205e-16,199,0.995,0.005,148.838,0.8362,8,5.410801552252205e-16,drift
scircuit,170998,958936,native,8,0.002,217,200,256,0.055028,0.156,0.277937,199,1.002,0.587372,62,1.042,0.069111,1.761,1.764,91,0.455,2.46,0.553,2886,2886,5106,1.3727038584475775e-16,91,0.455,0.545,43.881,0.6217,8,1.4395703731870585e-16,drift
scircuit,170998,958936,native,8,0.01,217,200,256,0.050617,0.103,0.280471,200,1.507,0.789365,115,0.965,0.074655,0.914,1.378,162,0.81,3.705,1.484,2770,2770,5039,1.4508241211362825e-16,162,0.81,0.19,70.452,0.7161,8,2.901648242272565e-16,drift
scircuit,170998,958936,native,8,0.05,217,200,256,0.054239,0.087,0.269755,200,1.224,1.173057,195,0.965,0.072751,0.785,0.961,199,0.995,3.921,1.572,2906,2906,5647,1.61361677347136e-16,199,0.995,0.005,94.406,0.753,8,3.018449917137134e-16,drift
scircuit,170998,958936,native,8,0.25,217,200,256,0.054768,0.085,0.285434,200,1.242,1.229597,200,0.989,0.076147,0.482,0.599,199,0.995,2.522,0.579,3465,3465,6435,1.9846755753085446e-16,199,0.995,0.005,97.763,0.7572,8,2.0486082189671304e-16,drift
