matrix,N,nnz,B,rho,seed,churn_model,churn_alpha,steps,step,is_last,dirty_cols,rows_merged,rows_per_block,rows_patchable,merge
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,125,False,256,30676,63328,,2.0644
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,150,False,256,30648,63173,,2.0612
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,175,False,256,30710,63645,,2.0725
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,199,True,256,30668,63307,30668,2.0643
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,25,False,256,30564,62788,,2.0543
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,50,False,256,30694,63412,,2.0659
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,75,False,256,30624,63324,,2.0678
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,100,False,256,30738,63762,,2.0744
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,125,False,256,30636,63315,,2.0667
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,150,False,256,30642,63086,,2.0588
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,175,False,256,30736,63795,,2.0756
TSOPF_RS_b39_c30,60098,1079986,8,0.25,117,drift,0.5,200,199,True,256,30720,63739,30720,2.0748
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,25,False,256,30548,62706,,2.0527
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,50,False,256,30575,62918,,2.0578
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,75,False,256,30610,63018,,2.0587
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,100,False,256,30342,62246,,2.0515
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,125,False,256,30660,63246,,2.0628
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,150,False,256,30578,62867,,2.056
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,175,False,256,30628,63334,,2.0678
TSOPF_RS_b39_c30,60098,1079986,8,0.25,217,drift,0.5,200,199,True,256,30606,62984,30606,2.0579
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,25,False,256,30876,63002,,2.0405
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,50,False,256,31226,63812,,2.0436
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,75,False,256,31540,64592,,2.0479
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,100,False,256,31686,64608,,2.039
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,125,False,256,31958,65330,,2.0442
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,150,False,256,32234,65966,,2.0465
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,175,False,256,32370,66256,,2.0468
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,0.5,200,199,True,256,32552,66724,32552,2.0498
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,25,False,256,30862,62932,,2.0391
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,50,False,256,31212,63694,,2.0407
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,75,False,256,31490,64358,,2.0438
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,100,False,256,31760,64962,,2.0454
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,125,False,256,32048,65612,,2.0473
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,150,False,256,32238,66196,,2.0534
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,175,False,256,32488,66834,,2.0572
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,jump,0.5,200,199,True,256,32690,67322,32690,2.0594
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,25,False,256,30900,63000,,2.0388
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,50,False,256,31246,63842,,2.0432
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,75,False,256,31544,64532,,2.0458
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,100,False,256,31792,65122,,2.0484
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,125,False,256,31968,65332,,2.0437
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,150,False,256,32152,65818,,2.0471
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,175,False,256,32332,66254,,2.0492
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,jump,0.5,200,199,True,256,32508,66696,32508,2.0517
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,25,False,256,31450,64268,,2.0435
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,50,False,256,32190,65986,,2.0499
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,75,False,256,32714,67134,,2.0521
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,100,False,256,33044,67627,,2.0466
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,125,False,256,33314,68339,,2.0514
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,150,False,256,33582,38847,,1.1568
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,175,False,256,33812,39150,,1.1579
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,0.5,200,199,True,256,33892,39460,33892,1.1643
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,25,False,256,31548,64580,,2.047
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,50,False,256,32232,66286,,2.0565
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,75,False,256,32654,37042,,1.1344
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,100,False,256,6928,7912,,1.142
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,125,False,256,7776,8749,,1.1251
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,150,False,256,8204,9204,,1.1219
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,175,False,256,7850,8970,,1.1427
TSOPF_RS_b39_c30,60098,1079986,8,0.01,117,jump,0.5,200,199,True,256,8390,9346,8390,1.1139
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,25,False,256,31540,64706,,2.0516
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,50,False,256,32218,66192,,2.0545
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,75,False,256,32710,67354,,2.0591
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,100,False,256,32954,67869,,2.0595
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,125,False,256,33306,68681,,2.0621
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,150,False,256,33548,69134,,2.0607
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,175,False,256,33479,38821,,1.1596
TSOPF_RS_b39_c30,60098,1079986,8,0.01,217,jump,0.5,200,199,True,256,8120,8936,8120,1.1005
