matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
TSOPF_RS_b300_c1,14538,1474325,8,0.05,21,False,400,256,5.462442,0.912761,6.23641,0.146,0.876,1.0,1.33435,0.87804,6.221,1.04,3,0.912761,hst,4.094,5.985,0.684,5.985,1.0,1.3516970307264558e-16,drift,399,12.24,10273,hst,1,14.102,relabelled,101,2.2204293698321325e-16,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,17,False,400,256,11.941938,0.412535,0.747484,0.552,15.976,1.0,0.800474,0.387074,30.852,1.066,1,0.412535,hst,14.919,28.948,0.515,28.948,1.0,1.1112960972222602e-16,drift,391,2.666,728,hst,1,9.857,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,17,False,400,256,12.190912,1.558877,19.15703,0.081,0.636,1.0,2.180461,1.614948,7.549,0.965,2,1.558877,hst,5.591,7.82,0.715,7.82,1.0,4.867987598354789e-17,drift,399,4.421,10233,hst,1,19.528,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,18,False,400,256,20.389807,0.60443,1.245516,0.485,16.371,1.0,1.014748,0.600167,33.974,1.007,1,0.60443,hst,20.093,33.734,0.596,33.734,1.0,1.1112960972222602e-16,drift,395,1.325,738,hst,1,10.202,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,18,False,400,256,19.564205,1.776015,18.598206,0.095,1.052,1.0,2.190106,1.76344,11.094,1.007,1,1.776015,hst,8.933,11.016,0.811,11.016,1.0,1.570681712232391e-16,drift,399,13.903,10295,hst,1,16.014,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,19,False,400,256,4.68506,0.193977,0.340577,0.57,13.756,1.0,0.576589,0.158862,29.491,1.221,2,0.193977,hst,8.125,24.153,0.336,24.153,1.0,1.1112960972222602e-16,drift,394,2.595,730,hst,1,10.236,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,19,False,400,256,4.792252,0.88085,12.85934,0.068,0.373,1.0,1.269527,0.799335,5.995,1.102,4,0.88085,hst,3.775,5.44,0.694,5.44,1.0,8.003212187656113e-17,drift,399,4.489,10185,hst,1,15.673,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,20,False,400,256,21.804208,0.669481,1.315341,0.509,16.577,1.0,1.080243,0.674772,32.313,0.992,0,0.669481,hst,20.185,32.569,0.62,32.569,1.0,1.1112960972222602e-16,drift,399,6.97,7681,hst,1,10.284,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,20,False,400,256,22.40991,1.936034,18.749619,0.103,1.195,1.0,2.355932,1.943476,11.531,0.996,1,1.936034,hst,9.512,11.575,0.822,11.575,1.0,1.4552135174598123e-16,drift,399,8.298,10303,hst,1,15.936,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,21,False,400,256,11.263807,0.38796,0.696455,0.557,16.173,1.0,0.783127,0.361584,31.151,1.073,1,0.38796,hst,14.383,29.033,0.495,29.033,1.0,1.4073755446586306e-16,drift,391,1.992,738,hst,1,9.967,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.25,21,False,400,256,11.539076,1.288492,15.546165,0.083,0.742,1.0,1.696146,1.23844,9.317,1.04,2,1.288492,hst,6.803,8.955,0.76,8.955,1.0,1.3516970307264558e-16,drift,399,4.854,10244,hst,1,15.476,relabelled,101,2.2204293698321325e-16,0.5
case9,14454,147972,8,0.0,17,False,400,256,0.044689,0.066113,0.062531,1.057,0.715,1.0,0.045948,0.043022,1.039,1.039,0,0.044689,delta_baseline,0.973,1.0,0.973,1.0,1.479,1.8253563338087409e-16,drift,0,1.0,7516,delta_baseline,0,0.0,native,0,0.0,0.5
case9,14454,147972,8,0.0,17,False,400,256,0.053382,0.154659,0.151971,1.018,0.351,1.0,0.055225,0.051722,1.032,1.032,0,0.053382,delta_baseline,0.967,1.0,0.967,1.0,2.897,1.0745583923395971e-18,drift,0,1.0,10302,delta_baseline,0,0.0,relabelled,101,1.3759602785198156e-18,0.5
case9,14454,147972,8,0.0,18,False,400,256,0.045293,0.078305,0.073754,1.062,0.614,1.0,0.047006,0.04391,1.032,1.032,0,0.045293,delta_baseline,0.964,1.0,0.964,1.0,1.729,1.6384614607668743e-15,drift,0,1.0,8024,delta_baseline,0,0.0,native,0,0.0,0.5
case9,14454,147972,8,0.0,18,False,400,256,0.056992,0.150697,0.146751,1.027,0.388,1.0,0.058924,0.05507,1.035,1.035,0,0.056992,delta_baseline,0.967,1.0,0.967,1.0,2.644,1.1677204720970397e-15,drift,0,1.0,10263,delta_baseline,0,0.0,relabelled,101,2.733129157630779e-16,0.5
case9,14454,147972,8,0.0,19,False,400,256,0.044605,0.067457,0.063897,1.056,0.698,1.0,0.04643,0.043362,1.029,1.029,0,0.044605,delta_baseline,0.961,1.0,0.961,1.0,1.512,1.8253563338087409e-16,drift,0,1.0,7524,delta_baseline,0,0.0,native,0,0.0,0.5
case9,14454,147972,8,0.0,19,False,400,256,0.052081,0.148125,0.150955,0.981,0.345,1.0,0.054865,0.051319,1.015,1.015,0,0.052081,delta_baseline,0.949,1.0,0.949,1.0,2.844,1.4835774042603473e-16,drift,0,1.0,10311,delta_baseline,0,0.0,relabelled,101,1.3759602785198156e-18,0.5
case9,14454,147972,8,0.0,20,False,400,256,0.045322,0.07852,0.07375,1.065,0.615,1.0,0.046648,0.043541,1.041,1.041,0,0.045322,delta_baseline,0.972,1.0,0.972,1.0,1.732,1.1571059044469956e-15,drift,0,1.0,8018,delta_baseline,0,0.0,native,0,0.0,0.5
case9,14454,147972,8,0.0,20,False,400,256,0.056693,0.149778,0.145783,1.027,0.389,1.0,0.059912,0.056044,1.012,1.012,0,0.056693,delta_baseline,0.946,1.0,0.946,1.0,2.642,8.035121135522575e-16,drift,0,1.0,10279,delta_baseline,0,0.0,relabelled,101,2.730955827847786e-16,0.5
case9,14454,147972,8,0.0,21,False,400,256,0.045029,0.078185,0.073147,1.069,0.616,1.0,0.046601,0.043579,1.033,1.033,0,0.045029,delta_baseline,0.966,1.0,0.966,1.0,1.736,1.4037033603327298e-15,drift,0,1.0,7973,delta_baseline,0,0.0,native,0,0.0,0.5
case9,14454,147972,8,0.0,21,False,400,256,0.057335,0.149338,0.145644,1.025,0.394,1.0,0.059185,0.055265,1.037,1.037,0,0.057335,delta_baseline,0.969,1.0,0.969,1.0,2.605,2.287563403428266e-16,drift,0,1.0,10254,delta_baseline,0,0.0,relabelled,101,4.042867080416394e-16,0.5
case9,14454,147972,8,0.002,17,False,400,256,1.246652,0.080231,0.083434,0.962,14.942,1.0,0.105873,0.082444,15.121,0.973,1,0.080231,hst,11.775,15.538,0.758,15.538,1.0,1.8253563338087409e-16,drift,107,1.366,7758,hst,1,1.259,native,0,0.0,0.5
case9,14454,147972,8,0.002,17,False,400,256,1.477196,0.210864,0.374591,0.563,3.943,1.0,0.240885,0.212671,6.946,0.992,2,0.210864,hst,6.132,7.005,0.875,7.005,1.0,1.0745583923395971e-18,drift,388,2.901,10283,hst,1,2.168,relabelled,101,1.3759602785198156e-18,0.5
case9,14454,147972,8,0.002,18,False,400,256,1.199629,0.105193,0.122346,0.86,9.805,1.0,0.13158,0.108029,11.105,0.974,1,0.105193,hst,9.117,11.404,0.799,11.404,1.0,1.6384614607668743e-15,drift,186,1.888,8297,hst,1,1.385,native,0,0.0,0.5
case9,14454,147972,8,0.002,18,False,400,256,1.421045,0.207217,0.368819,0.562,3.853,1.0,0.238469,0.210537,6.75,0.984,2,0.207217,hst,5.959,6.858,0.869,6.858,1.0,1.1677204720970397e-15,drift,388,2.852,10342,hst,1,2.073,relabelled,101,2.733129157630779e-16,0.5
case9,14454,147972,8,0.002,19,False,400,256,1.242392,0.080809,0.077201,1.047,16.093,1.047,0.106167,0.08326,14.922,0.971,1,0.080809,hst,11.702,15.374,0.761,15.374,1.0,1.8253563338087409e-16,drift,113,1.36,7753,hst,1,1.261,native,0,0.0,0.5
case9,14454,147972,8,0.002,19,False,400,256,1.473929,0.211442,0.375416,0.563,3.926,1.0,0.242155,0.215524,6.839,0.981,2,0.211442,hst,6.087,6.971,0.873,6.971,1.0,1.4835774042603473e-16,drift,393,3.032,10348,hst,1,1.994,relabelled,101,1.3759602785198156e-18,0.5
case9,14454,147972,8,0.002,20,False,400,256,1.202615,0.105581,0.11507,0.918,10.451,1.0,0.133924,0.110357,10.897,0.957,1,0.105581,hst,8.98,11.39,0.788,11.39,1.0,1.1571059044469956e-15,drift,199,1.875,8283,hst,1,1.326,native,0,0.0,0.5
case9,14454,147972,8,0.002,20,False,400,256,1.424488,0.206426,0.371507,0.556,3.834,1.0,0.237937,0.210108,6.78,0.982,2,0.206426,hst,5.987,6.901,0.868,6.901,1.0,8.035121135522575e-16,drift,388,3.022,10359,hst,1,2.047,relabelled,101,2.730955827847786e-16,0.5
case9,14454,147972,8,0.002,21,False,400,256,1.262567,0.103127,0.123205,0.837,10.248,1.0,0.133189,0.109442,11.536,0.942,1,0.103127,hst,9.48,12.243,0.774,12.243,1.0,1.4037033603327298e-15,drift,200,1.875,8255,hst,1,1.349,native,0,0.0,0.5
case9,14454,147972,8,0.002,21,False,400,256,1.494047,0.208749,0.370278,0.564,4.035,1.0,0.241317,0.214091,6.979,0.975,2,0.208749,hst,6.191,7.157,0.865,7.157,1.0,2.287563403428266e-16,drift,385,3.093,10412,hst,1,2.086,relabelled,101,4.042867080416394e-16,0.5
case9,14454,147972,8,0.01,17,False,400,256,1.259235,0.094687,0.10416,0.909,12.089,1.0,0.121974,0.099642,12.638,0.95,1,0.094687,hst,10.324,13.299,0.776,13.299,1.0,1.8253563338087409e-16,drift,239,1.464,7768,hst,1,1.297,native,0,0.0,0.5
