rows_per_block,rows_merged,merge,matrix,rho,seed,motion,steps
71247,8070,8.828624535315985,TSOPF_RS_b300_c1,0.002,19,drift,400
70776,8044,8.79860765788165,TSOPF_RS_b300_c1,0.002,20,drift,400
71377,7986,8.937766090658652,TSOPF_RS_b300_c1,0.002,21,drift,400
60781,7863,7.730001271779219,TSOPF_RS_b300_c1,0.01,17,drift,400
45423,7741,5.867846531455884,TSOPF_RS_b300_c1,0.01,18,drift,400
46459,7818,5.942568431823996,TSOPF_RS_b300_c1,0.01,19,drift,400
45945,7839,5.861079219288174,TSOPF_RS_b300_c1,0.01,20,drift,400
67792,7958,8.518723297310881,TSOPF_RS_b300_c1,0.01,21,drift,400
3078,738,4.170731707317073,TSOPF_RS_b300_c1,0.05,17,drift,400
2901,713,4.068723702664797,TSOPF_RS_b300_c1,0.05,18,drift,400
3086,734,4.204359673024523,TSOPF_RS_b300_c1,0.05,19,drift,400
2749,694,3.9610951008645534,TSOPF_RS_b300_c1,0.05,20,drift,400
2876,729,3.945130315500686,TSOPF_RS_b300_c1,0.05,21,drift,400
2894,706,4.09915014164306,TSOPF_RS_b300_c1,0.25,17,drift,400
67854,7888,8.602180527383368,TSOPF_RS_b300_c1,0.25,18,drift,400
2970,718,4.1364902506963785,TSOPF_RS_b300_c1,0.25,19,drift,400
68632,7670,8.948109517601043,TSOPF_RS_b300_c1,0.25,20,drift,400
2959,730,4.053424657534246,TSOPF_RS_b300_c1,0.25,21,drift,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,17,jump,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,18,jump,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,19,jump,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,20,jump,400
66400,7314,9.078479628110474,TSOPF_RS_b300_c1,0.0,21,jump,400
82357,9916,8.305465913674869,TSOPF_RS_b300_c1,0.002,17,jump,400
82962,10137,8.18407812962415,TSOPF_RS_b300_c1,0.002,18,jump,400
82072,9924,8.270052398226522,TSOPF_RS_b300_c1,0.002,19,jump,400
75129,9911,7.580365250731511,TSOPF_RS_b300_c1,0.002,20,jump,400
71202,9866,7.216906547739712,TSOPF_RS_b300_c1,0.002,21,jump,400
43639,10331,4.224082857419417,TSOPF_RS_b300_c1,0.01,17,jump,400
43070,10360,4.1573359073359075,TSOPF_RS_b300_c1,0.01,18,jump,400
35146,10318,3.4062802868773017,TSOPF_RS_b300_c1,0.01,19,jump,400
36276,10326,3.5130737943056363,TSOPF_RS_b300_c1,0.01,20,jump,400
29324,10153,2.8882103811681277,TSOPF_RS_b300_c1,0.01,21,jump,400
28262,10176,2.7773191823899372,TSOPF_RS_b300_c1,0.05,17,jump,400
43968,10265,4.2832927423283005,TSOPF_RS_b300_c1,0.05,18,jump,400
42554,10218,4.164611469954981,TSOPF_RS_b300_c1,0.05,19,jump,400
22587,9777,2.3102178582387234,TSOPF_RS_b300_c1,0.05,20,jump,400
35184,10167,3.460607848922986,TSOPF_RS_b300_c1,0.05,21,jump,400
20979,9563,2.1937676461361497,TSOPF_RS_b300_c1,0.25,17,jump,400
22272,9786,2.2759043531575722,TSOPF_RS_b300_c1,0.25,18,jump,400
34809,10228,3.403304653891279,TSOPF_RS_b300_c1,0.25,19,jump,400
35363,10335,3.421673923560716,TSOPF_RS_b300_c1,0.25,20,jump,400
21700,9583,2.264426588750913,TSOPF_RS_b300_c1,0.25,21,jump,400
6219,1090,5.705504587155963,nasa2910,0.0,17,drift,400
4516,733,6.1609822646657575,nasa2910,0.0,18,drift,400
5243,775,6.765161290322581,nasa2910,0.0,19,drift,400
4516,733,6.1609822646657575,nasa2910,0.0,20,drift,400
5023,673,7.463595839524517,nasa2910,0.0,21,drift,400
10325,1762,5.859818388195233,nasa2910,0.002,17,drift,400
9636,1923,5.0109204368174725,nasa2910,0.002,18,drift,400
8512,1173,7.256606990622336,nasa2910,0.002,19,drift,400
7632,1570,4.861146496815286,nasa2910,0.002,20,drift,400
6055,700,8.65,nasa2910,0.002,21,drift,400
10370,1716,6.043123543123543,nasa2910,0.01,17,drift,400
10080,2018,4.995044598612488,nasa2910,0.01,18,drift,400
5496,960,5.725,nasa2910,0.01,19,drift,400
9672,2012,4.807157057654075,nasa2910,0.01,20,drift,400
5696,971,5.866117404737384,nasa2910,0.01,21,drift,400
6575,1020,6.446078431372549,nasa2910,0.05,17,drift,400
6584,1170,5.627350427350428,nasa2910,0.05,18,drift,400
6146,850,7.2305882352941175,nasa2910,0.05,19,drift,400
6738,1334,5.050974512743628,nasa2910,0.05,20,drift,400
8673,1321,6.56548069644209,nasa2910,0.05,21,drift,400
10498,1723,6.092861288450377,nasa2910,0.25,17,drift,400
9714,1493,6.506363027461487,nasa2910,0.25,18,drift,400
8994,1541,5.836469824789098,nasa2910,0.25,19,drift,400
9343,1560,5.989102564102564,nasa2910,0.25,20,drift,400
9487,1498,6.333110814419226,nasa2910,0.25,21,drift,400
6219,1090,5.705504587155963,nasa2910,0.0,17,jump,400
4516,733,6.1609822646657575,nasa2910,0.0,18,jump,400
5243,775,6.765161290322581,nasa2910,0.0,19,jump,400
4516,733,6.1609822646657575,nasa2910,0.0,20,jump,400
5023,673,7.463595839524517,nasa2910,0.0,21,jump,400
19559,2900,6.7444827586206895,nasa2910,0.002,17,jump,400
20121,2910,6.914432989690722,nasa2910,0.002,18,jump,400
18961,2899,6.540531217661263,nasa2910,0.002,19,jump,400
20779,2900,7.165172413793104,nasa2910,0.002,20,jump,400
20603,2903,7.09714088873579,nasa2910,0.002,21,jump,400
21634,2910,7.434364261168385,nasa2910,0.01,17,jump,400
20724,2909,7.124097628050877,nasa2910,0.01,18,jump,400
21452,2910,7.371821305841924,nasa2910,0.01,19,jump,400
20839,2910,7.161168384879725,nasa2910,0.01,20,jump,400
21814,2910,7.496219931271478,nasa2910,0.01,21,jump,400
21462,2903,7.393041681019635,nasa2910,0.05,17,jump,400
20157,2910,6.9268041237113405,nasa2910,0.05,18,jump,400
21648,2905,7.45197934595525,nasa2910,0.05,19,jump,400
21937,2905,7.551462994836489,nasa2910,0.05,20,jump,400
20895,2890,7.230103806228374,nasa2910,0.05,21,jump,400
21253,2875,7.392347826086956,nasa2910,0.25,17,jump,400
20923,2890,7.239792387543252,nasa2910,0.25,18,jump,400
22081,2910,7.587972508591065,nasa2910,0.25,19,jump,400
21091,2903,7.2652428522218395,nasa2910,0.25,20,jump,400
21715,2910,7.462199312714777,nasa2910,0.25,21,jump,400
2304,480,4.8,raefsky3,0.0,17,drift,400
2304,480,4.8,raefsky3,0.0,18,drift,400
2304,480,4.8,raefsky3,0.0,19,drift,400
2304,480,4.8,raefsky3,0.0,20,drift,400
2304,480,4.8,raefsky3,0.0,21,drift,400
4248,896,4.741071428571429,raefsky3,0.002,17,drift,400
4728,968,4.884297520661157,raefsky3,0.002,18,drift,400
4824,1016,4.748031496062992,raefsky3,0.002,19,drift,400
4176,880,4.745454545454545,raefsky3,0.002,20,drift,400
4464,944,4.728813559322034,raefsky3,0.002,21,drift,400
5040,1040,4.846153846153846,raefsky3,0.01,17,drift,400
5616,1208,4.6490066225165565,raefsky3,0.01,18,drift,400
5040,1216,4.144736842105263,raefsky3,0.01,19,drift,400
5832,1392,4.189655172413793,raefsky3,0.01,20,drift,400
4968,1064,4.669172932330827,raefsky3,0.01,21,drift,400
5040,1256,4.012738853503185,raefsky3,0.05,17,drift,400
4752,1152,4.125,raefsky3,0.05,18,drift,400
4176,1072,3.8955223880597014,raefsky3,0.05,19,drift,400
5256,1424,3.691011235955056,raefsky3,0.05,20,drift,400
3824,1104,3.463768115942029,raefsky3,0.05,21,drift,400
3936,1024,3.84375,raefsky3,0.25,17,drift,400
3672,792,4.636363636363637,raefsky3,0.25,18,drift,400
3696,800,4.62,raefsky3,0.25,19,drift,400
4392,1096,4.007299270072993,raefsky3,0.25,20,drift,400
4104,952,4.310924369747899,raefsky3,0.25,21,drift,400
2304,480,4.8,raefsky3,0.0,17,jump,400
2304,480,4.8,raefsky3,0.0,18,jump,400
2304,480,4.8,raefsky3,0.0,19,jump,400
2304,480,4.8,raefsky3,0.0,20,jump,400
2304,480,4.8,raefsky3,0.0,21,jump,400
15792,10984,1.437727603787327,raefsky3,0.002,17,jump,400
15936,11192,1.4238741958541816,raefsky3,0.002,18,jump,400
16128,10912,1.4780058651026393,raefsky3,0.002,19,jump,400
15696,10984,1.4289876183539694,raefsky3,0.002,20,jump,400
16176,10704,1.5112107623318385,raefsky3,0.002,21,jump,400
17280,12280,1.4071661237785016,raefsky3,0.01,17,jump,400
16992,12024,1.4131736526946108,raefsky3,0.01,18,jump,400
