matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
bcspwr09,1723,6511,8,0.05,18,jump,rotate,fast,400,256,973.0,1032,992,3668,1551,2.3649,1.9279349701391987e-16,403,403,0,403,0.098759,0.006118,0.073539,0.046661,0.607967,0.038612,1.3429,0.1624,0.9559,0.7118,0.121
bcspwr09,1723,6511,8,0.05,19,jump,rotate,fast,400,256,965.6,1023,970,3317,1501,2.2099,1.5331133762997147e-16,403,403,0,403,0.098092,0.006052,0.073429,0.046539,0.604738,0.03849,1.3359,0.1622,0.9597,0.7184,0.1214
bcspwr09,1723,6511,8,0.25,17,jump,rotate,fast,400,256,965.7,1066,982,3703,1518,2.4394,3.35570736004796e-16,403,403,0,403,0.098142,0.006012,0.072867,0.046433,0.606196,0.038487,1.3469,0.1619,0.9618,0.7141,0.1202
bcspwr09,1723,6511,8,0.25,18,jump,rotate,fast,400,256,966.4,1032,972,3668,1551,2.3649,2.006059706071155e-16,403,403,0,403,0.098308,0.006087,0.072938,0.04636,0.605431,0.038483,1.3478,0.1624,0.9621,0.7138,0.1205
bcspwr09,1723,6511,8,0.25,19,jump,rotate,fast,400,256,966.9,1023,956,3317,1501,2.2099,2.1146681895142446e-16,403,403,0,403,0.098094,0.006066,0.07312,0.04653,0.60599,0.038725,1.3415,0.1619,0.9577,0.7139,0.1207
bcspwr10,5300,21842,8,0.01,17,jump,rotate,fast,400,256,1083.3,1101,1041,6298,3622,1.7388,1.331009655235152e-16,403,402,521,402,0.110845,0.006365,0.092939,0.061651,1.015689,0.060583,1.1927,0.1091,0.8066,0.6763,0.0915
bcspwr10,5300,21842,8,0.01,18,jump,rotate,fast,400,256,1068.3,1153,1058,6544,3653,1.7914,1.2830607103811036e-16,403,403,56,403,0.110703,0.006371,0.091624,0.062653,0.998826,0.060472,1.2082,0.1108,0.7977,0.6602,0.0917
bcspwr10,5300,21842,8,0.01,19,jump,rotate,fast,400,256,1085.1,1129,1060,5871,3393,1.7303,1.9311060690057195e-16,403,402,8,402,0.111301,0.006427,0.090645,0.062005,0.96784,0.059551,1.2279,0.115,0.8125,0.6617,0.0937
bcspwr10,5300,21842,8,0.05,17,jump,rotate,fast,400,256,1072.0,1101,1044,6298,3622,1.7388,1.331009655235152e-16,403,403,1,403,0.110688,0.006226,0.090988,0.062981,0.979833,0.059985,1.2165,0.113,0.7904,0.6498,0.0929
bcspwr10,5300,21842,8,0.05,18,jump,rotate,fast,400,256,1060.5,1153,1070,6544,3653,1.7914,1.7697834969339974e-16,403,403,0,403,0.109865,0.006238,0.09086,0.062852,0.978428,0.060092,1.2092,0.1123,0.7845,0.6488,0.0929
bcspwr10,5300,21842,8,0.05,19,jump,rotate,fast,400,256,1055.2,1129,1066,5871,3393,1.7303,1.9311060690057195e-16,403,403,0,403,0.109292,0.006068,0.090417,0.062612,0.97423,0.060119,1.2088,0.1122,0.7819,0.6469,0.0928
bcspwr10,5300,21842,8,0.25,17,jump,rotate,fast,400,256,1050.9,1101,1052,6298,3622,1.7388,2.1756120191113903e-16,403,403,0,403,0.109293,0.006039,0.091738,0.063888,0.980538,0.060184,1.1914,0.1115,0.7685,0.6451,0.0936
bcspwr10,5300,21842,8,0.25,18,jump,rotate,fast,400,256,1056.3,1153,1068,6544,3653,1.7914,1.0748584433727372e-16,403,403,0,403,0.110194,0.006157,0.091576,0.063866,0.98679,0.060432,1.2033,0.1117,0.7722,0.6417,0.0928
bcspwr10,5300,21842,8,0.25,19,jump,rotate,fast,400,256,1052.1,1129,1022,5871,3393,1.7303,1.9311060690057195e-16,403,403,0,403,0.109679,0.00604,0.091523,0.063735,0.980033,0.060165,1.1984,0.1119,0.7716,0.6438,0.0934
