churn_model,scope,regime,model,lomo_acc,insample_acc,regret_geo,regret_p90,regret_worst,cells_over_2x,n_cells,n_positive,label_collapse
jump,churning only,churn,gradient boosting,0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
jump,churning only,both,always column-exact,0.253,0.253,2.0562,5.2384,19.924,187,419,313,0
jump,churning only,both,always block-scheduled,0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
jump,churning only,both,1-D threshold (tree d=1),0.747,0.7947,1.1087,1.3282,6.8434,21,419,313,0
jump,churning only,both,decision tree d=3,0.79,0.9212,1.068,1.2093,3.7213,12,419,313,0
jump,churning only,both,logistic regression,0.8473,0.8759,1.0248,1.0866,1.7157,0,419,313,0
jump,churning only,both,kNN (k=5),0.7661,0.9714,1.0575,1.2359,2.4048,6,419,313,0
jump,churning only,both,random forest (300),0.8616,1.0,1.04,1.1456,2.4151,7,419,313,0
jump,churning only,both,gradient boosting,0.8878,0.9905,1.02,1.0522,1.5012,0,419,313,0
jump,churning only,measured,MEASURED ROUTER (steady),0.8687,,1.0849,1.21,1.9146,0,419,313,
jump,churning only,measured,MEASURED ROUTER (+calib),0.8687,,1.3286,1.6975,2.7496,10,419,313,
jump,workload mix (frozen + churning),structure,always column-exact,0.3931,0.3931,1.7799,4.4847,19.924,187,524,318,0
jump,workload mix (frozen + churning),structure,always block-scheduled,0.6069,0.6069,1.2271,2.0331,5.8688,58,524,318,0
jump,workload mix (frozen + churning),structure,1-D threshold (tree d=1),0.7023,0.7309,1.1443,1.7338,6.8434,35,524,318,0
jump,workload mix (frozen + churning),structure,decision tree d=3,0.6832,0.7691,1.1517,1.7382,6.8434,34,524,318,0
jump,workload mix (frozen + churning),structure,logistic regression,0.6832,0.7576,1.1498,1.7562,4.5544,38,524,318,0
jump,workload mix (frozen + churning),structure,kNN (k=5),0.6374,0.7195,1.1954,1.8742,4.4847,50,524,318,0
jump,workload mix (frozen + churning),structure,random forest (300),0.6718,0.771,1.156,1.7562,4.5544,37,524,318,0
jump,workload mix (frozen + churning),structure,gradient boosting,0.6622,0.771,1.1686,1.7915,12.4106,41,524,318,0
jump,workload mix (frozen + churning),churn,always column-exact,0.3931,0.3931,1.7799,4.4847,19.924,187,524,318,0
jump,workload mix (frozen + churning),churn,always block-scheduled,0.6069,0.6069,1.2271,2.0331,5.8688,58,524,318,0
jump,workload mix (frozen + churning),churn,1-D threshold (tree d=1),0.7882,0.7882,1.0561,1.2359,2.4048,8,524,318,0
jump,workload mix (frozen + churning),churn,decision tree d=3,0.7882,0.7882,1.0561,1.2359,2.4048,8,524,318,0
jump,workload mix (frozen + churning),churn,logistic regression,0.6069,0.6069,1.2271,2.0331,5.8688,58,524,318,0
jump,workload mix (frozen + churning),churn,kNN (k=5),0.5782,0.4237,1.25,2.2445,5.8688,65,524,318,0
jump,workload mix (frozen + churning),churn,random forest (300),0.7882,0.7882,1.0561,1.2359,2.4048,8,524,318,0
jump,workload mix (frozen + churning),churn,gradient boosting,0.7882,0.7882,1.0561,1.2359,2.4048,8,524,318,0
jump,workload mix (frozen + churning),both,always column-exact,0.3931,0.3931,1.7799,4.4847,19.924,187,524,318,0
jump,workload mix (frozen + churning),both,always block-scheduled,0.6069,0.6069,1.2271,2.0331,5.8688,58,524,318,0
jump,workload mix (frozen + churning),both,1-D threshold (tree d=1),0.7882,0.7882,1.0561,1.2359,2.4048,8,524,318,0
jump,workload mix (frozen + churning),both,decision tree d=3,0.8244,0.9065,1.0488,1.1481,3.9557,10,524,318,0
jump,workload mix (frozen + churning),both,logistic regression,0.6794,0.7595,1.152,1.759,4.5544,39,524,318,0
jump,workload mix (frozen + churning),both,kNN (k=5),0.6908,0.8817,1.158,1.7406,4.4123,42,524,318,0
jump,workload mix (frozen + churning),both,random forest (300),0.8798,1.0,1.0302,1.0522,2.0331,3,524,318,0
jump,workload mix (frozen + churning),both,gradient boosting,0.8817,0.9924,1.0316,1.0506,3.9557,6,524,318,0
jump,workload mix (frozen + churning),measured,MEASURED ROUTER (steady),0.8855,,1.0758,1.1892,1.9146,0,524,318,
jump,workload mix (frozen + churning),measured,MEASURED ROUTER (+calib),0.8855,,1.2812,1.6435,2.7496,10,524,318,
