matrix,N,nnz,B,rho,seed,churn_model,churn_alpha,steps,step,is_last,dirty_cols,rows_merged,rows_per_block,rows_patchable,merge
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,199,True,256,8576,9200,8576,1.0728
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,0,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,25,False,256,8858,9354,,1.056
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,50,False,256,8696,9298,,1.0692
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,75,False,256,9028,9494,,1.0516
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,100,False,256,8760,9308,,1.0626
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,125,False,256,8872,9348,,1.0537
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,150,False,256,9210,9808,,1.0649
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,175,False,256,8850,9328,,1.054
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,0.5,200,199,True,256,8758,9358,8758,1.0685
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,25,False,256,33770,39214,,1.1612
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,50,False,256,8348,9162,,1.0975
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,75,False,256,8536,9292,,1.0886
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,100,False,256,8547,9301,,1.0882
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,125,False,256,9016,9456,,1.0488
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,150,False,256,8893,9403,,1.0573
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,175,False,256,8731,9467,,1.0843
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,jump,0.5,200,199,True,256,8752,9294,8752,1.0619
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,0,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,25,False,138,4988,5148,,1.0321
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,50,False,138,4800,5012,,1.0442
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,75,False,138,4816,4996,,1.0374
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,100,False,138,4796,5070,,1.0571
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,125,False,138,4882,5076,,1.0397
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,150,False,138,4910,5052,,1.0289
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,175,False,138,4674,4944,,1.0578
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,jump,0.5,200,199,True,138,5006,5110,5006,1.0208
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,0,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,25,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,50,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,75,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,100,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,125,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,150,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,175,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,17,drift,0.5,200,199,True,256,7920,32124,7920,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,0,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,25,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,50,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,75,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,100,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,125,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,150,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,175,False,256,7924,32190,,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,18,drift,0.5,200,199,True,256,7924,32190,7924,4.0623
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,0,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,25,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,50,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,75,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,100,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,125,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,150,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,175,False,256,7924,32181,,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,19,drift,0.5,200,199,True,256,7924,32181,7924,4.0612
TSOPF_RS_b162_c3,15374,610299,8,0.0,20,drift,0.5,200,0,False,256,7920,32124,,4.0561
TSOPF_RS_b162_c3,15374,610299,8,0.0,20,drift,0.5,200,25,False,256,7920,32124,,4.0561
