matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
add32,4960,19848,8,0.01,17,False,400,256,0.07716,0.022602,0.019684,1.148,3.92,1.148,0.028671,0.025042,3.081,0.903,10,0.022602,hst,2.691,3.414,0.788,3.414,1.0,1.834572946307244e-16,mix,62,2.138,714,hst,1,0.505,native,0,0.0,0.0
add32,4960,19848,8,0.01,18,False,400,256,0.077037,0.021691,0.019169,1.132,4.019,1.132,0.030722,0.027458,2.806,0.79,35,0.021691,hst,2.508,3.552,0.706,3.552,1.0,3.8969112366871195e-16,mix,54,2.194,653,hst,1,1.733,native,0,0.0,0.0
add32,4960,19848,8,0.01,19,False,400,256,0.07513,0.020561,0.018324,1.122,4.1,1.122,0.025558,0.022501,3.339,0.914,8,0.020561,hst,2.94,3.654,0.804,3.654,1.0,1.440904858629578e-16,mix,48,2.119,510,hst,1,0.399,native,0,0.0,0.0
add32,4960,19848,8,0.01,20,False,400,256,0.0776,0.022442,0.020184,1.112,3.845,1.112,0.039198,0.026638,2.913,0.842,38,0.022442,hst,1.98,3.458,0.573,3.458,1.0,1.9189147112235067e-16,mix,66,2.502,683,hst,1,1.925,native,0,0.0,0.0
add32,4960,19848,8,0.01,21,False,400,256,0.077351,0.021774,0.01898,1.147,4.075,1.147,0.031974,0.028725,2.693,0.758,46,0.021774,hst,2.419,3.552,0.681,3.552,1.0,2.4073268406156015e-16,mix,50,2.158,632,hst,1,2.224,native,0,0.0,0.0
add32,4960,19848,8,0.25,17,False,400,256,0.082142,0.044785,0.058574,0.765,1.402,1.0,0.066853,0.056408,1.456,0.794,169,0.044785,hst,1.229,1.834,0.67,1.834,1.0,1.834572946307244e-16,mix,388,3.515,881,hst,1,4.339,native,0,0.0,0.0
add32,4960,19848,8,0.25,18,False,400,256,0.082768,0.046632,0.066898,0.697,1.237,1.0,0.066042,0.053026,1.561,0.879,91,0.046632,hst,1.253,1.775,0.706,1.775,1.0,3.8969112366871195e-16,mix,394,2.711,1066,hst,1,2.706,native,0,0.0,0.0
add32,4960,19848,8,0.25,19,False,400,256,0.081028,0.041502,0.047807,0.868,1.695,1.0,0.04964,0.047401,1.709,0.876,22,0.041502,hst,1.632,1.952,0.836,1.952,1.0,1.440904858629578e-16,mix,368,3.07,868,hst,1,0.746,native,0,0.0,0.0
add32,4960,19848,8,0.25,20,False,400,256,0.082869,0.047456,0.070721,0.671,1.172,1.0,0.068831,0.056154,1.476,0.845,104,0.047456,hst,1.204,1.746,0.689,1.746,1.0,1.9189147112235067e-16,mix,398,3.999,1197,hst,1,2.766,native,0,0.0,0.0
add32,4960,19848,8,0.25,21,False,400,256,0.081974,0.045742,0.058622,0.78,1.398,1.0,0.065212,0.051768,1.583,0.884,90,0.045742,hst,1.257,1.792,0.701,1.792,1.0,2.4073268406156015e-16,mix,395,1.936,956,hst,1,2.728,native,0,0.0,0.0
epb2,25228,175027,8,0.01,17,False,400,256,0.15102,0.05935,0.055217,1.075,2.735,1.075,0.067377,0.061745,2.446,0.961,8,0.05935,hst,2.241,2.545,0.881,2.545,1.0,1.2653601002823704e-16,mix,252,3.924,1398,hst,1,0.712,native,0,0.0,0.0
epb2,25228,175027,8,0.01,18,False,400,256,0.108314,0.037688,0.030518,1.235,3.549,1.235,0.04711,0.041305,2.622,0.912,20,0.037688,hst,2.299,2.874,0.8,2.874,1.0,1.0817377525460358e-16,mix,134,2.659,819,hst,1,1.361,native,0,0.0,0.0
epb2,25228,175027,8,0.01,19,False,400,256,0.114557,0.037105,0.030511,1.216,3.755,1.216,0.04482,0.041853,2.737,0.887,8,0.037105,hst,2.556,3.087,0.828,3.087,1.0,1.2261168325020086e-16,mix,114,2.959,794,hst,1,0.558,native,0,0.0,0.0
epb2,25228,175027,8,0.01,20,False,400,256,0.109917,0.039651,0.032915,1.205,3.339,1.205,0.046461,0.043305,2.538,0.916,9,0.039651,hst,2.366,2.772,0.853,2.772,1.0,1.2651934239081537e-16,mix,134,3.17,1044,hst,1,0.586,native,0,0.0,0.0
epb2,25228,175027,8,0.01,21,False,400,256,0.125954,0.038576,0.031244,1.235,4.031,1.235,0.046731,0.042419,2.969,0.909,9,0.038576,hst,2.695,3.265,0.825,3.265,1.0,1.711511604198709e-16,mix,114,2.347,872,hst,1,0.714,native,0,0.0,0.0
epb2,25228,175027,8,0.25,17,False,400,256,0.162022,0.079509,0.175429,0.453,0.924,1.0,0.110849,0.085881,1.887,0.926,71,0.079509,hst,1.462,2.038,0.717,2.038,1.0,1.2653601002823704e-16,mix,399,3.468,1355,hst,1,5.395,native,0,0.0,0.0
epb2,25228,175027,8,0.25,18,False,400,256,0.149611,0.075905,0.168821,0.45,0.886,1.0,0.103722,0.085419,1.752,0.889,73,0.075905,hst,1.442,1.971,0.732,1.971,1.0,1.0817377525460358e-16,mix,399,3.893,1679,hst,1,4.675,native,0,0.0,0.0
epb2,25228,175027,8,0.25,19,False,400,256,0.161662,0.078205,0.172839,0.452,0.935,1.0,0.106612,0.086381,1.871,0.905,64,0.078205,hst,1.516,2.067,0.734,2.067,1.0,1.2261168325020086e-16,mix,399,3.006,1599,hst,1,4.789,native,0,0.0,0.0
epb2,25228,175027,8,0.25,20,False,400,256,0.150611,0.078098,0.172496,0.453,0.873,1.0,0.107392,0.086932,1.733,0.898,79,0.078098,hst,1.402,1.928,0.727,1.928,1.0,1.2651934239081537e-16,mix,399,4.763,1826,hst,1,5.04,native,0,0.0,0.0
epb2,25228,175027,8,0.25,21,False,400,256,0.147569,0.079153,0.141618,0.559,1.042,1.0,0.104021,0.082365,1.792,0.961,78,0.079153,hst,1.419,1.864,0.761,1.864,1.0,1.711511604198709e-16,mix,399,3.606,1426,hst,1,5.107,native,0,0.0,0.0
rajat03,7602,32653,8,0.01,17,False,400,256,0.113115,0.069985,0.055541,1.26,2.037,1.26,0.10104,0.081327,1.391,0.861,126,0.069985,hst,1.12,1.616,0.693,1.616,1.0,1.5389215321852664e-16,mix,219,3.529,1286,hst,1,4.003,native,0,0.0,0.0
rajat03,7602,32653,8,0.01,18,False,400,256,0.112506,0.060873,0.051618,1.179,2.18,1.179,0.092639,0.072518,1.551,0.839,95,0.060873,hst,1.214,1.848,0.657,1.848,1.0,1.5443765292083486e-16,mix,180,3.865,1190,hst,1,3.782,native,0,0.0,0.0
rajat03,7602,32653,8,0.01,19,False,400,256,0.112948,0.05525,0.04772,1.158,2.367,1.158,0.088468,0.068979,1.637,0.801,82,0.05525,hst,1.277,2.044,0.625,2.044,1.0,1.5991248545154193e-16,mix,154,1.339,935,hst,1,3.597,native,0,0.0,0.0
rajat03,7602,32653,8,0.01,20,False,400,256,0.113146,0.064651,0.055867,1.157,2.025,1.157,0.105211,0.091571,1.236,0.706,331,0.064651,hst,1.075,1.75,0.614,1.75,1.0,1.538921533552159e-16,mix,215,3.558,1189,hst,1,7.15,native,0,0.0,0.0
rajat03,7602,32653,8,0.01,21,False,400,256,0.114154,0.064345,0.05444,1.182,2.097,1.182,0.097294,0.078223,1.459,0.823,105,0.064345,hst,1.173,1.774,0.661,1.774,1.0,1.5389215543573844e-16,mix,205,4.051,1228,hst,1,3.769,native,0,0.0,0.0
rajat03,7602,32653,8,0.25,17,False,400,256,0.113656,0.108554,0.222175,0.489,0.512,1.0,0.144859,0.124636,0.912,0.871,,0.108554,hst,0.785,1.047,0.749,1.047,1.0,1.5389215321852664e-16,mix,399,1.694,1596,hst,1,5.295,native,0,0.0,0.0
rajat03,7602,32653,8,0.25,18,False,400,256,0.114243,0.102939,0.195083,0.528,0.586,1.0,0.141896,0.120434,0.949,0.855,,0.102939,hst,0.805,1.11,0.725,1.11,1.0,1.5443765292083486e-16,mix,399,3.843,1608,hst,1,5.387,native,0,0.0,0.0
rajat03,7602,32653,8,0.25,19,False,400,256,0.114156,0.105067,0.199385,0.527,0.573,1.0,0.142193,0.121784,0.937,0.863,,0.105067,hst,0.803,1.087,0.739,1.087,1.0,1.5991248545154193e-16,mix,399,4.436,1986,hst,1,5.311,native,0,0.0,0.0
rajat03,7602,32653,8,0.25,20,False,400,256,0.114805,0.109329,0.225289,0.485,0.51,1.0,0.146857,0.126804,0.905,0.862,,0.109329,hst,0.782,1.05,0.744,1.05,1.0,1.538921533552159e-16,mix,399,3.609,1841,hst,1,5.353,native,0,0.0,0.0
rajat03,7602,32653,8,0.25,21,False,400,256,0.12162,0.108704,0.222256,0.489,0.547,1.0,0.144213,0.123411,0.985,0.881,,0.108704,hst,0.843,1.119,0.754,1.119,1.0,1.5389215543573844e-16,mix,399,4.301,1437,hst,1,5.522,native,0,0.0,0.0
wang3,26064,177168,8,0.01,17,False,400,256,0.153812,0.112512,0.098818,1.139,1.557,1.139,0.151212,0.122995,1.251,0.915,227,0.112512,hst,1.017,1.367,0.744,1.367,1.0,1.1305705384438466e-16,mix,317,1.893,2115,hst,1,7.0,native,0,0.0,0.0
wang3,26064,177168,8,0.01,18,False,400,256,0.151557,0.103978,0.089833,1.157,1.687,1.157,0.143607,0.117145,1.294,0.888,180,0.103978,hst,1.055,1.458,0.724,1.458,1.0,2.415345571415648e-16,mix,276,4.43,2075,hst,1,6.208,native,0,0.0,0.0
wang3,26064,177168,8,0.01,19,False,400,256,0.150222,0.093101,0.078488,1.186,1.914,1.186,0.132911,0.106423,1.412,0.875,146,0.093101,hst,1.13,1.614,0.7,1.614,1.0,1.1119305929315413e-16,mix,245,4.253,1592,hst,1,6.376,native,0,0.0,0.0
wang3,26064,177168,8,0.01,20,False,400,256,0.151586,0.106111,0.09328,1.138,1.625,1.138,0.148173,0.12046,1.258,0.881,222,0.106111,hst,1.023,1.429,0.716,1.429,1.0,2.3978588170819393e-16,mix,298,4.106,2154,hst,1,6.904,native,0,0.0,0.0
wang3,26064,177168,8,0.01,21,False,400,256,0.152842,0.105893,0.093516,1.132,1.634,1.132,0.145843,0.119075,1.284,0.889,196,0.105893,hst,1.048,1.443,0.726,1.443,1.0,1.1305705384438466e-16,mix,278,4.481,2208,hst,1,6.631,native,0,0.0,0.0
wang3,26064,177168,8,0.25,17,False,400,256,0.154412,0.158422,0.384512,0.412,0.402,1.0,0.194981,0.16731,0.923,0.923,,0.154412,delta_baseline,0.792,1.0,0.792,1.0,1.026,1.1305705384438466e-16,mix,399,5.165,2726,hst,1,8.473,native,0,0.0,0.0
wang3,26064,177168,8,0.25,18,False,400,256,0.154253,0.156066,0.390847,0.399,0.395,1.0,0.196936,0.169631,0.909,0.909,,0.154253,delta_baseline,0.783,1.0,0.783,1.0,1.012,2.415345571415648e-16,mix,399,5.162,3239,hst,1,8.103,native,0,0.0,0.0
wang3,26064,177168,8,0.25,19,False,400,256,0.153496,0.153325,0.379907,0.404,0.404,1.0,0.194439,0.168543,0.911,0.91,,0.153325,hst,0.789,1.001,0.789,1.001,1.0,1.1119305929315413e-16,mix,399,2.224,2973,hst,1,7.98,native,0,0.0,0.0
wang3,26064,177168,8,0.25,20,False,400,256,0.154952,0.147462,0.365791,0.403,0.424,1.0,0.19122,0.16362,0.947,0.901,,0.147462,hst,0.81,1.051,0.771,1.051,1.0,2.3978588170819393e-16,mix,399,2.937,2811,hst,1,8.226,native,0,0.0,0.0
wang3,26064,177168,8,0.25,21,False,400,256,0.154465,0.154281,0.374346,0.412,0.413,1.0,0.195066,0.167243,0.924,0.923,,0.154281,hst,0.792,1.001,0.791,1.001,1.0,1.1305705384438466e-16,mix,399,4.744,3165,hst,1,8.413,native,0,0.0,0.0
scircuit,170998,958936,8,0.01,17,False,400,256,0.248305,0.21788,0.117861,1.849,2.107,1.849,0.258004,0.146508,1.695,1.487,333,0.21788,hst,0.962,1.14,0.844,1.14,1.0,2.6050372849850016e-16,mix,243,4.624,2959,hst,1,33.85,native,0,0.0,0.0
scircuit,170998,958936,8,0.01,18,False,400,256,0.15376,0.089123,0.066969,1.331,2.296,1.331,0.201408,0.110085,1.397,0.81,732,0.089123,hst,0.763,1.725,0.442,1.725,1.0,2.0386846321125864e-16,mix,160,3.349,954,hst,1,31.975,native,0,0.0,0.0
scircuit,170998,958936,8,0.01,19,False,400,256,0.272802,0.178287,0.175764,1.014,1.552,1.014,0.301972,0.190745,1.43,0.935,474,0.178287,hst,0.903,1.53,0.59,1.53,1.0,1.8803246323926756e-16,mix,348,3.357,3211,hst,1,38.935,native,0,0.0,0.0
scircuit,170998,958936,8,0.01,20,False,400,256,0.14988,0.097409,0.073192,1.331,2.048,1.331,0.2138,0.120407,1.245,0.809,1139,0.097409,hst,0.701,1.539,0.456,1.539,1.0,2.757259758035496e-16,mix,190,3.612,1048,hst,1,33.567,native,0,0.0,0.0
