matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
memplus,17758,99147,8,0.01,19,False,200,256,0.619063,0.121165,0.20687,0.586,2.993,1.0,0.156835,0.127271,4.864,0.952,2,0.121165,hst,3.947,5.109,0.773,5.109,1.0,4.41481093913526e-16,mix,199,3.773,9352,hst,1,1.136,native,0,0.0,0.75
memplus,17758,99147,8,0.25,17,False,200,256,0.295308,0.156242,0.726478,0.215,0.406,1.0,0.237835,0.162688,1.815,0.96,59,0.156242,hst,1.242,1.89,0.657,1.89,1.0,3.582437197197559e-16,mix,199,5.052,7813,hst,1,7.834,native,0,0.0,0.75
memplus,17758,99147,8,0.25,18,False,200,256,0.366512,0.151431,0.724845,0.209,0.506,1.0,0.267625,0.169416,2.163,0.894,43,0.151431,hst,1.369,2.42,0.566,2.42,1.0,3.582443742956908e-16,mix,199,3.895,6893,hst,1,8.511,native,0,0.0,0.75
memplus,17758,99147,8,0.25,19,False,200,256,0.313161,0.148775,0.709632,0.21,0.441,1.0,0.258753,0.16517,1.896,0.901,57,0.148775,hst,1.21,2.105,0.575,2.105,1.0,4.41481093913526e-16,mix,199,4.59,8538,hst,1,8.394,native,0,0.0,0.75
add32,4960,19848,8,0.01,17,False,200,256,0.080623,0.063766,0.083298,0.766,0.968,1.0,0.095995,0.072479,1.112,0.88,351,0.063766,hst,0.84,1.264,0.664,1.264,1.0,1.834572946307244e-16,mix,197,6.127,3017,hst,1,2.858,native,0,0.0,0.75
add32,4960,19848,8,0.01,18,False,200,256,0.077858,0.061862,0.079535,0.778,0.979,1.0,0.095048,0.071973,1.082,0.86,492,0.061862,hst,0.819,1.259,0.651,1.259,1.0,3.8969112366871195e-16,mix,198,1.377,2827,hst,1,2.898,native,0,0.0,0.75
add32,4960,19848,8,0.01,19,False,200,256,0.080969,0.061518,0.078982,0.779,1.025,1.0,0.094777,0.071745,1.129,0.857,306,0.061518,hst,0.854,1.316,0.649,1.316,1.0,1.440904858629578e-16,mix,198,6.002,3053,hst,1,2.825,native,0,0.0,0.75
add32,4960,19848,8,0.25,17,False,200,256,0.078778,0.085536,0.335755,0.255,0.235,1.0,0.12209,0.095292,0.827,0.827,,0.078778,delta_baseline,0.645,1.0,0.645,1.0,1.086,1.834572946307244e-16,mix,199,5.376,2989,hst,1,4.28,native,0,0.0,0.75
add32,4960,19848,8,0.25,18,False,200,256,0.078435,0.085653,0.330846,0.259,0.237,1.0,0.114431,0.084913,0.924,0.924,,0.078435,delta_baseline,0.685,1.0,0.685,1.0,1.092,3.8969112366871195e-16,mix,199,4.745,2856,delta_baseline,0,4.374,native,0,0.0,0.75
add32,4960,19848,8,0.25,19,False,200,256,0.078373,0.084695,0.335245,0.253,0.234,1.0,0.122802,0.095739,0.819,0.819,,0.078373,delta_baseline,0.638,1.0,0.638,1.0,1.081,1.440904858629578e-16,mix,199,4.753,3021,hst,1,4.292,native,0,0.0,0.75
circuit_3,12127,48137,8,0.01,17,False,200,256,0.318123,0.096911,0.164133,0.59,1.938,1.0,0.179953,0.115415,2.756,0.84,26,0.096911,hst,1.768,3.283,0.539,3.283,1.0,6.734179160610594e-16,mix,199,5.797,7562,hst,1,5.184,native,0,0.0,0.75
circuit_3,12127,48137,8,0.01,18,False,200,256,0.320078,0.102608,0.169545,0.605,1.888,1.0,0.184252,0.115044,2.782,0.892,27,0.102608,hst,1.737,3.119,0.557,3.119,1.0,6.734177751265342e-16,mix,199,5.768,7551,hst,1,5.536,native,0,0.0,0.75
circuit_3,12127,48137,8,0.01,19,False,200,256,0.327664,0.100333,0.171109,0.586,1.915,1.0,0.117553,0.103082,3.179,0.973,4,0.100333,hst,2.787,3.266,0.854,3.266,1.0,1.38110199246993e-16,mix,198,5.868,7713,hst,1,0.919,native,0,0.0,0.75
circuit_3,12127,48137,8,0.25,17,False,200,256,0.317812,0.126188,0.471357,0.268,0.674,1.0,0.210336,0.138048,2.302,0.914,37,0.126188,hst,1.511,2.519,0.6,2.519,1.0,6.734179160610594e-16,mix,199,1.851,7548,hst,1,6.741,native,0,0.0,0.75
circuit_3,12127,48137,8,0.25,18,False,200,256,0.317347,0.122617,0.470659,0.261,0.674,1.0,0.209719,0.137255,2.312,0.893,37,0.122617,hst,1.513,2.588,0.585,2.588,1.0,6.734177751265342e-16,mix,199,4.024,7753,hst,1,6.701,native,0,0.0,0.75
circuit_3,12127,48137,8,0.25,19,False,200,256,0.332984,0.123267,0.455444,0.271,0.731,1.0,0.214413,0.137796,2.416,0.895,35,0.123267,hst,1.553,2.701,0.575,2.701,1.0,1.38110199246993e-16,mix,199,2.249,7587,hst,1,6.874,native,0,0.0,0.75
rajat03,7602,32653,8,0.01,17,False,200,256,0.082394,0.074695,0.101291,0.737,0.813,1.0,0.110056,0.082461,0.999,0.906,,0.074695,hst,0.749,1.103,0.679,1.103,1.0,1.5389215321852664e-16,mix,199,6.905,4106,hst,1,3.441,native,0,0.0,0.75
rajat03,7602,32653,8,0.01,18,False,200,256,0.074928,0.07124,0.094741,0.752,0.791,1.0,0.10624,0.08107,0.924,0.879,,0.07124,hst,0.705,1.052,0.671,1.052,1.0,1.5443765292083486e-16,mix,199,1.657,3918,hst,1,3.359,native,0,0.0,0.75
rajat03,7602,32653,8,0.01,19,False,200,256,0.074457,0.071006,0.096453,0.736,0.772,1.0,0.106541,0.083641,0.89,0.849,,0.071006,hst,0.699,1.049,0.666,1.049,1.0,1.5991248545154193e-16,mix,199,1.162,3990,hst,1,3.198,native,0,0.0,0.75
rajat03,7602,32653,8,0.25,17,False,200,256,0.078077,0.100891,0.47792,0.211,0.163,1.0,0.118312,0.085215,0.916,0.916,,0.078077,delta_baseline,0.66,1.0,0.66,1.0,1.292,1.5389215321852664e-16,mix,199,5.745,4288,delta_baseline,0,5.037,native,0,0.0,0.75
rajat03,7602,32653,8,0.25,18,False,200,256,0.077,0.110179,0.483871,0.228,0.159,1.0,0.117704,0.08419,0.915,0.915,,0.077,delta_baseline,0.654,1.0,0.654,1.0,1.431,1.5443765292083486e-16,mix,199,2.75,4212,delta_baseline,0,5.125,native,0,0.0,0.75
