matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
TSOPF_RS_b162_c3,15374,610299,8,0.05,17,jump_nnz,rotate,fast,400,256,194405.7,194408,194406,32124,7920,4.0561,2.1296976897774992e-16,403,403,394,403,9.094069,0.234438,0.427204,0.366165,33.892728,0.276271,21.2874,0.2683,16.0587,0.7544,0.0126
TSOPF_RS_b162_c3,15374,610299,8,0.05,18,jump_nnz,rotate,fast,400,256,194406.0,194408,194407,32190,7924,4.0623,1.7857115267632254e-16,403,403,76,403,9.101695,0.235856,0.430911,0.376056,33.794203,0.278265,21.122,0.2693,16.0911,0.7618,0.0128
TSOPF_RS_b162_c3,15374,610299,8,0.05,19,jump_nnz,rotate,fast,400,256,194406.1,194408,194404,32181,7924,4.0612,1.6784827933758033e-16,403,403,12,403,9.117895,0.240781,0.430167,0.376236,33.744668,0.277786,21.1962,0.2702,16.1761,0.7632,0.0127
TSOPF_RS_b162_c3,15374,610299,8,0.25,17,jump_nnz,rotate,fast,400,256,194405.5,194408,194406,32124,7920,4.0561,1.1883671010784106e-16,403,403,8,403,9.112937,0.234941,0.4313,0.378643,34.346228,0.280663,21.129,0.2653,15.95,0.7549,0.0126
TSOPF_RS_b162_c3,15374,610299,8,0.25,18,jump_nnz,rotate,fast,400,256,194405.8,194408,194403,32190,7924,4.0623,2.0303074584322095e-16,403,403,0,403,9.119066,0.238216,0.431211,0.378899,34.321041,0.278484,21.1476,0.2657,16.0107,0.7571,0.0126
TSOPF_RS_b162_c3,15374,610299,8,0.25,19,jump_nnz,rotate,fast,400,256,194405.9,194408,194405,32181,7924,4.0612,1.37834997783533e-16,403,403,0,403,9.126252,0.240503,0.432308,0.379455,34.330783,0.279861,21.1105,0.2658,15.9176,0.754,0.0126
TSOPF_RS_b300_c1,14538,1474325,8,0.01,17,jump_nnz,rotate,fast,400,256,496944.3,496944,496945,65771,7435,8.8461,1.0627529436039176e-16,389,379,441,379,22.39432,0.638942,0.963084,0.868645,91.106694,0.82191,23.2527,0.2458,22.8189,0.9813,0.0106
TSOPF_RS_b300_c1,14538,1474325,8,0.01,18,jump_nnz,rotate,fast,400,256,496944.7,496944,496945,65771,7435,8.8461,1.4717834420665808e-16,395,387,193,387,22.787287,0.639114,0.967337,0.88607,94.749405,0.827485,23.5567,0.2405,23.0191,0.9772,0.0102
TSOPF_RS_b300_c1,14538,1474325,8,0.01,19,jump_nnz,rotate,fast,400,256,496944.6,496944,496945,65771,7435,8.8461,1.118432963288558e-16,398,389,86,389,23.457279,0.65657,0.992964,0.914968,93.456028,0.841085,23.6235,0.251,23.2201,0.9829,0.0106
TSOPF_RS_b300_c1,14538,1474325,8,0.05,17,jump_nnz,rotate,fast,400,256,496945.0,496944,496945,65771,7435,8.8461,1.5195209192610133e-16,403,403,81,403,23.175923,0.642662,0.987905,0.913758,103.595267,0.845687,23.4597,0.2237,22.6935,0.9673,0.0095
TSOPF_RS_b300_c1,14538,1474325,8,0.05,18,jump_nnz,rotate,fast,400,256,496944.8,496944,496945,65771,7435,8.8461,1.800153316270061e-16,403,403,33,403,23.103111,0.645177,0.986002,0.915588,102.841672,0.84367,23.4311,0.2246,22.7702,0.9718,0.0096
TSOPF_RS_b300_c1,14538,1474325,8,0.05,19,jump_nnz,rotate,fast,400,256,496944.8,496944,496944,65771,7435,8.8461,1.2871607226595093e-16,403,403,31,403,23.133494,0.638482,0.986887,0.916341,102.840496,0.844688,23.4409,0.2249,22.7622,0.971,0.0096
TSOPF_RS_b300_c1,14538,1474325,8,0.25,17,jump_nnz,rotate,fast,400,256,496944.9,496944,496946,65771,7435,8.8461,1.8632492660712992e-16,403,403,104,403,23.142654,0.636799,1.001334,0.929855,104.745177,0.851549,23.1118,0.2209,22.4153,0.9699,0.0096
TSOPF_RS_b300_c1,14538,1474325,8,0.25,18,jump_nnz,rotate,fast,400,256,496944.9,496944,496945,65771,7435,8.8461,1.4717834420665808e-16,403,403,99,403,23.134634,0.631377,0.997719,0.926674,105.219177,0.851772,23.1875,0.2199,22.3908,0.9656,0.0095
TSOPF_RS_b300_c1,14538,1474325,8,0.25,19,jump_nnz,rotate,fast,400,256,496945.0,496944,496945,65771,7435,8.8461,1.418792883723533e-16,403,403,72,403,23.154334,0.630909,0.999714,0.92944,105.236889,0.849719,23.161,0.22,22.493,0.9712,0.0095
nasa2910,2910,174296,8,0.01,17,jump_nnz,rotate,fast,400,256,17888.5,17905,17883,6219,1090,5.7055,3.153931624208114e-16,403,396,287,396,0.963487,0.039844,0.268853,0.22009,8.565551,0.132506,3.5837,0.1125,2.6972,0.7526,0.0314
